128,1775998395187,teddy bear,0.562,"[111,34,175,152]"
136,1775998395518,bird,0.787,"[111,39,176,152]"
141,1775998395741,bird,0.698,"[115,35,187,152]"
146,1775998395948,bird,0.878,"[107,14,205,153]"
150,1775998396250,bird,0.916,"[104,13,206,153]"
151,1775998396252,bird,0.791,"[105,13,207,153]"
152,1775998396259,bird,0.850,"[106,13,206,153]"
156,1775998396349,bird,0.918,"[111,13,204,153]"
157,1775998396393,bird,0.924,"[112,13,203,153]"
187,1775998397648,bird,0.786,"[107,36,172,153]"
188,1775998397691,bird,0.823,"[106,36,172,153]"
202,1775998398290,dog,0.812,"[106,40,174,153]"
206,1775998398438,bird,0.722,"[107,41,173,152]"
207,1775998398480,bird,0.816,"[107,41,173,152]"
214,1775998398789,bird,0.804,"[107,41,174,152]"
217,1775998398896,bird,0.796,"[108,41,174,152]"
226,1775998399265,bird,0.779,"[99,36,176,152]"
234,1775998399683,cat,0.658,"[55,25,174,153]"
237,1775998399733,cat,0.555,"[62,24,225,153]"
