595,1775996342144,dog,0.519,"[105,48,227,177]"
665,1775996345060,cat,0.686,"[18,34,141,147]"
667,1775996345149,cat,0.747,"[17,39,144,147]"
689,1775996346082,bird,0.503,"[57,14,163,153]"
717,1775996347250,cat,0.530,"[38,17,155,157]"
745,1775996348433,cat,0.744,"[27,20,154,157]"
782,1775996349936,sheep,0.629,"[70,21,152,158]"
793,1775996350423,cat,0.735,"[71,23,154,157]"
804,1775996350864,cat,0.737,"[86,14,176,165]"
819,1775996351480,cat,0.877,"[119,10,217,172]"
826,1775996351768,cat,0.805,"[146,22,241,177]"
863,1775996353310,person,0.613,"[138,166,185,180]"
910,1775996355282,bird,0.695,"[71,55,261,178]"
1003,1775996359183,person,0.684,"[26,7,276,177]"
1023,1775996359984,person,0.591,"[24,29,274,179]"
1029,1775996360228,person,0.577,"[28,30,275,178]"
1088,1775996362688,cat,0.522,"[192,39,319,173]"
1132,1775996364551,dog,0.579,"[118,0,317,166]"
1170,1775996366107,cow,0.708,"[62,41,245,165]"
1178,1775996366437,cow,0.566,"[63,40,247,164]"
1196,1775996367198,cow,0.616,"[68,38,247,164]"
1208,1775996367686,cow,0.684,"[68,37,247,164]"
1220,1775996368184,person,0.853,"[0,1,156,176]"
1230,1775996368604,person,0.837,"[0,1,156,176]"
1245,1775996369264,person,0.847,"[0,0,158,175]"
1301,1775996371591,bird,0.584,"[12,10,109,77]"
1317,1775996372242,dog,0.774,"[102,26,255,146]"
1327,1775996372643,dog,0.741,"[103,23,258,145]"
1329,1775996372731,dog,0.698,"[104,23,258,145]"
1341,1775996373248,dog,0.801,"[102,25,257,150]"
1343,1775996373319,dog,0.589,"[103,28,253,149]"
1366,1775996374274,dog,0.518,"[98,0,251,150]"
1398,1775996375612,dog,0.693,"[104,41,277,156]"
1446,1775996377607,sheep,0.655,"[70,29,179,168]"
1459,1775996378161,dog,0.619,"[57,40,172,168]"
1472,1775996378691,sheep,0.503,"[55,40,172,166]"
1480,1775996379029,cat,0.538,"[70,38,159,166]"
1527,1775996380982,sports ball,0.652,"[143,151,162,168]"
1538,1775996381435,sports ball,0.551,"[143,152,162,168]"
1548,1775996381871,sports ball,0.511,"[143,152,162,168]"
1550,1775996381945,sports ball,0.521,"[143,152,163,168]"
1560,1775996382375,sports ball,0.715,"[143,152,162,168]"
1560,1775996382375,sheep,0.640,"[69,37,151,165]"
1564,1775996382534,sheep,0.836,"[59,34,149,164]"
1571,1775996382815,sheep,0.766,"[57,33,155,164]"
1575,1775996382980,sheep,0.715,"[54,33,156,164]"
1580,1775996383193,sheep,0.503,"[51,36,161,140]"
1587,1775996383477,sheep,0.568,"[54,55,173,166]"
