140,1775998395682,dog,0.534,"[114,44,184,153]"
144,1775998395863,bird,0.924,"[111,16,201,152]"
145,1775998395905,bird,0.917,"[109,15,204,152]"
149,1775998396057,bird,0.783,"[104,14,207,153]"
153,1775998396264,bird,0.849,"[108,12,206,153]"
159,1775998396524,bird,0.898,"[113,13,201,153]"
160,1775998396527,bird,0.916,"[114,13,201,153]"
168,1775998396866,bird,0.909,"[113,19,204,153]"
170,1775998396948,bird,0.923,"[102,15,223,154]"
175,1775998397164,bird,0.867,"[82,14,252,154]"
178,1775998397281,bird,0.862,"[81,15,253,154]"
178,1775998397281,bird,0.585,"[81,15,199,153]"
179,1775998397340,bird,0.878,"[81,14,253,154]"
181,1775998397390,bird,0.889,"[81,17,253,153]"
182,1775998397510,bird,0.725,"[75,24,254,153]"
183,1775998397511,person,0.510,"[75,33,223,153]"
191,1775998397807,bird,0.876,"[106,35,173,153]"
195,1775998398016,bird,0.622,"[106,37,174,153]"
196,1775998398017,bird,0.612,"[107,38,174,153]"
210,1775998398599,bird,0.599,"[107,41,174,152]"
210,1775998398599,dog,0.576,"[107,42,174,152]"
211,1775998398647,bird,0.815,"[107,42,174,152]"
215,1775998398809,bird,0.828,"[108,41,174,152]"
218,1775998398980,bird,0.721,"[108,41,174,152]"
219,1775998398983,dog,0.829,"[108,39,174,153]"
240,1775998399862,person,0.619,"[80,20,239,153]"
1776233271595,2,2321,car,0.8072,957,278,1062,345
1776233271595,2,2321,car,0.7205,865,176,947,216
1776233272385,2,2322,car,0.8252,939,280,1046,348
1776233272385,2,2322,car,0.7505,865,176,945,216
1776233272386,2,2336,car,0.7548,795,317,914,388
1776233272386,2,2336,car,0.6908,932,197,1010,240
1776233272387,2,2343,car,0.8246,699,319,827,397
1776233272388,2,2343,car,0.8056,941,196,1020,239
1776233272389,2,2350,car,0.8551,633,335,766,414
1776233272389,2,2350,car,0.8139,966,204,1044,248
1776233272390,2,2366,car,0.8612,463,367,616,456
1776233272390,2,2366,car,0.8066,1056,226,1133,272
1776233273366,2,2400,car,0.9212,174,439,360,537
1776233273366,2,2400,car,0.7011,1123,329,1201,373
1776233273368,2,2406,car,0.8934,147,440,339,540
1776233273368,2,2406,car,0.6832,1122,341,1198,383
1776233273370,2,2416,car,0.8608,84,452,285,545
1776233273371,2,2416,car,0.7860,1122,369,1194,411
1776233273373,2,2440,car,0.8356,53,445,322,548
1776233273374,2,2447,car,0.8712,47,446,351,552
1776233273375,2,2460,car,0.8813,109,449,471,563
1776233273375,2,2461,car,0.8722,109,447,475,562
1776233273376,2,2465,car,0.8621,71,439,450,555
1776233273377,2,2472,car,0.9021,17,424,402,541
1776233273379,2,2475,car,0.8903,10,420,394,533
1776233273380,2,2490,car,0.8621,49,398,379,496
1776233273381,2,2497,car,0.9116,75,392,354,472
1776233273382,2,2512,car,0.8375,182,379,348,438
1776233273382,2,2519,car,0.7816,144,372,276,422
1776233273383,2,2520,car,0.8538,136,369,262,420
1776233273384,2,2556,car,0.8374,664,328,794,406
1776233273385,2,2556,car,0.7445,948,200,1028,246
1776233274664,2,2570,car,0.9055,545,347,689,432
1776233274664,2,2570,car,0.4403,1030,212,1107,258
1776233274666,2,2582,car,0.9197,413,380,575,474
1776233274666,2,2582,car,0.7920,1100,234,1177,283
1776233274668,2,2583,car,0.8958,401,382,566,477
1776233274668,2,2583,car,0.6724,1105,237,1185,285
1776233274670,2,2600,car,0.9099,173,427,361,530
1776233274670,2,2600,car,0.8485,1090,292,1174,341
1776233274670,2,2600,car,0.4787,653,120,743,149
1776233274671,2,2606,car,0.8848,169,435,352,535
1776233274672,2,2606,car,0.7851,1103,316,1181,362
1776233274672,2,2606,car,0.3916,671,154,747,180
1776233274672,2,2606,airplane,0.3764,0,166,44,212
1776233274674,2,2609,car,0.9259,177,437,364,535
1776233274675,2,2609,car,0.8218,1121,325,1202,369
1776233274676,2,2610,car,0.9192,174,439,360,537
1776233274676,2,2610,car,0.7159,1123,329,1202,373
1776233274677,2,2615,car,0.8846,156,440,347,539
1776233274678,2,2615,car,0.7457,1124,339,1201,382
1776233274679,2,2636,car,0.8967,15,452,232,546
1776233274680,2,2636,car,0.7871,1151,400,1220,438
1776233274687,2,2645,car,0.8508,33,449,286,547
1776233274689,2,2657,car,0.8671,47,446,351,552
1776233274694,2,2661,car,0.8606,74,448,397,557
1776233274696,2,2663,car,0.8489,93,449,422,559
1776233274699,2,2667,car,0.8810,114,449,463,562
1776233274706,2,2670,car,0.8787,110,449,472,563
1776233274707,2,2672,car,0.8856,105,446,471,561
1776233275620,2,2677,car,0.8572,59,438,444,554
1776233275621,2,2688,car,0.8885,5,415,385,525
1776233275623,2,2694,car,0.9066,25,408,383,516
1776233275624,2,2703,car,0.9132,57,395,370,486
1776233275625,2,2743,car,0.7984,926,278,1034,344
1776233275626,2,2743,car,0.6854,867,172,949,213
1776233275627,2,2744,car,0.7472,876,165,957,206
1776233275627,2,2744,car,0.7463,921,270,1028,336
1776233275628,2,2747,car,0.7891,899,265,1012,332
1776233275629,2,2747,car,0.7333,903,155,982,196
1776233275630,2,2768,car,0.8564,657,331,786,408
1776233275630,2,2768,car,0.7069,956,203,1035,246
1776233275631,2,2774,car,0.8476,599,340,737,420
1776233275632,2,2795,car,0.8465,380,387,547,482
1776233275633,2,2795,car,0.7477,1112,242,1188,289
1776233275634,2,2813,car,0.9029,163,430,348,531
1776233275634,2,2813,car,0.8083,1086,303,1167,351
1776233275636,2,2817,car,0.9199,176,435,362,534
1776233275636,2,2817,car,0.8103,1111,318,1188,364
1776233275637,2,2821,car,0.8937,170,439,356,538
1776233275638,2,2821,car,0.7677,1125,332,1203,374
1776233275639,2,2827,car,0.9068,143,441,334,541
1776233275639,2,2827,car,0.7986,1121,343,1198,386
1776233275640,2,2828,car,0.9219,137,443,327,541
1776233275641,2,2828,car,0.7673,1120,345,1198,389
1776233275643,2,2829,car,0.9125,128,442,319,542
1776233275643,2,2829,car,0.8276,1120,348,1198,391
1776233276216,2,2839,car,0.9006,67,453,274,549
1776233276216,2,2839,car,0.7681,1129,381,1199,420
